latitude,longitude,sst_celsius
15.2605,68.5972,2.35
15.2605,68.6626,2.4
15.2605,68.7936,2.45
15.2605,68.859,2.35
15.2605,69.2519,2.49
15.2605,70.234,2.55
15.2605,70.2994,2.34
15.2605,70.4959,2.47
15.1951,67.6805,2.34
15.1951,67.746,2.33
15.1951,67.9424,2.41
15.1951,68.1388,2.35
15.1951,68.2043,2.51
15.1951,68.3353,2.5
15.1951,68.4007,2.35
15.1951,68.4662,2.36
15.1951,68.5317,2.43
15.1951,68.5972,2.34
15.1951,68.6626,2.4
15.1951,70.2994,2.36
15.1951,70.3649,2.46
15.1951,70.6923,2.53
15.1296,67.6151,2.22
15.1296,67.6805,2.33
15.1296,67.746,2.34
15.1296,67.8115,2.33
15.1296,68.0079,2.37
15.1296,68.1388,2.4
15.1296,68.2043,2.28
15.1296,68.2698,2.4
15.1296,68.3353,2.53
15.1296,68.4007,2.34
15.1296,68.4662,2.53
15.1296,68.5972,2.47
15.1296,68.6626,2.5
15.1296,68.7281,2.37
15.1296,68.7936,2.4
15.1296,68.859,2.4
15.1296,68.9245,2.26
15.1296,68.99,2.56
15.1296,69.2519,2.5
15.1296,69.3174,2.5
15.1296,69.3828,2.57
15.1296,69.5792,2.65
15.1296,69.9066,2.48
15.1296,70.0376,2.32
15.1296,70.1685,2.53
15.1296,70.234,2.32
15.1296,70.2994,2.48
15.1296,70.3649,2.41
15.0641,67.6151,3.93
15.0641,67.6805,2.33
15.0641,67.746,2.32
15.0641,67.8115,2.31
15.0641,67.9424,2.36
15.0641,68.0079,2.36
15.0641,68.0734,2.42
15.0641,68.2698,2.39
15.0641,68.3353,2.41
15.0641,68.4662,2.45
15.0641,68.5317,2.34
15.0641,68.5972,2.43
15.0641,68.6626,2.31
15.0641,68.7281,2.41
15.0641,68.7936,2.36
15.0641,68.859,2.38
15.0641,68.9245,2.4
15.0641,69.0555,2.5
15.0641,69.1209,2.53
15.0641,69.1864,2.47
15.0641,69.3174,2.41
15.0641,69.3828,2.47
15.0641,69.5138,2.59
15.0641,69.8411,2.52
15.0641,69.9066,2.45
15.0641,70.0376,2.55
15.0641,70.103,2.39
15.0641,70.234,2.35
15.0641,70.3649,2.4
15.0641,70.4304,2.42
15.0641,70.4959,2.39
14.9986,67.6151,2.83
14.9986,67.6805,2.32
14.9986,67.746,2.31
14.9986,67.8115,2.33
14.9986,67.877,2.34
14.9986,67.9424,2.37
14.9986,68.0079,2.51
14.9986,68.1388,2.36
14.9986,68.2043,2.44
14.9986,68.4662,2.46
14.9986,68.5317,2.38
14.9986,68.5972,2.32
14.9986,68.6626,2.52
14.9986,68.7281,2.44
14.9986,68.7936,2.38
14.9986,68.859,2.35
14.9986,68.9245,2.38
14.9986,69.0555,2.41
14.9986,69.1209,2.43
14.9986,69.1864,2.4
14.9986,69.7757,2.53
14.9986,70.8887,2.46
14.9332,67.6151,2.3
14.9332,67.6805,2.29
14.9332,67.746,2.3
14.9332,67.8115,2.31
14.9332,67.877,2.32
14.9332,67.9424,2.32
14.9332,68.0079,2.31
14.9332,68.0734,2.4
14.9332,68.2043,2.34
14.9332,68.2698,2.36
14.9332,68.4662,2.43
14.9332,68.5317,2.37
14.9332,68.5972,2.37
14.9332,68.6626,2.41
14.9332,68.7281,2.39
14.9332,68.9245,2.32
14.9332,68.99,2.38
14.9332,69.5138,2.68
14.9332,69.5792,2.59
14.9332,69.7102,2.53
14.9332,69.9721,2.47
14.8677,67.6151,2.31
14.8677,67.6805,2.31
14.8677,67.746,2.29
14.8677,67.8115,2.3
14.8677,67.877,2.33
14.8677,67.9424,2.35
14.8677,68.0079,2.38
14.8677,68.2043,2.35
14.8677,68.2698,2.24
14.8677,68.5317,2.22
14.8677,68.5972,2.44
14.8677,68.7281,2.38
14.8677,68.7936,2.42
14.8677,68.9245,2.36
14.8677,68.99,2.38
14.8677,69.0555,2.45
14.8677,69.1209,2.45
14.8677,69.5138,2.65
14.8677,69.6447,2.63
14.8677,69.7757,2.56
14.8677,69.9066,2.47
14.8677,70.0376,2.51
14.8677,70.8887,2.61
14.8022,67.5496,2.19
14.8022,67.6151,2.32
14.8022,67.6805,2.3
14.8022,67.746,2.29
14.8022,67.8115,2.28
14.8022,67.877,2.32
14.8022,67.9424,2.34
14.8022,68.0079,2.32
14.8022,68.0734,2.49
14.8022,68.1388,2.37
14.8022,68.2043,2.37
14.8022,68.4662,2.38
14.8022,68.5317,2.43
14.8022,68.5972,2.42
14.8022,68.6626,2.39
14.8022,68.7281,2.34
14.8022,68.7936,2.36
14.8022,68.859,2.35
14.8022,68.99,2.42
14.8022,69.3828,2.54
14.8022,69.5792,2.65
14.8022,69.6447,2.5
14.8022,69.7757,2.4
14.8022,69.8411,2.39
14.8022,69.9066,2.44
14.8022,70.1685,2.6
14.8022,70.8887,2.49
14.7367,67.5496,3.39
14.7367,67.6151,2.3
14.7367,67.6805,2.3
14.7367,67.746,2.31
14.7367,67.8115,2.28
14.7367,67.877,2.28
14.7367,67.9424,2.34
14.7367,68.0734,2.3
14.7367,68.1388,2.38
14.7367,68.2043,2.36
14.7367,68.2698,2.38
14.7367,68.3353,2.29
14.7367,68.4662,2.43
14.7367,68.5972,2.41
14.7367,68.6626,2.36
14.7367,68.7281,2.36
14.7367,68.7936,2.38
14.7367,68.859,2.51
14.7367,68.9245,2.35
14.7367,68.99,2.46
14.7367,69.1209,2.49
14.7367,69.1864,2.41
14.7367,69.2519,2.44
14.7367,69.3174,2.76
